Data Year,Fuel Type,ZIP,Number of Vehicles
2011,Electric,90405,21
2011,Electric,90501,5
2011,Electric,90502,3
2011,Electric,90503,9
2011,Electric,90504,6
2011,Electric,90505,10
2011,Electric,90601,7
2011,Electric,90603,1
2011,Electric,90604,1
2011,Electric,90605,1
2011,Electric,90620,1
2011,Electric,90630,10
2011,Electric,90631,4
2011,Electric,90638,4
2011,Electric,90640,1
2011,Electric,90680,1
2011,Electric,90703,7
2011,Electric,90712,3
2011,Electric,90713,1
2011,Electric,90715,2
2011,Electric,90720,5
2011,Electric,90731,8
2011,Electric,90732,4
2011,Electric,90740,6
2011,Electric,90742,2
2011,Electric,90744,1
2011,Electric,90745,1
2011,Electric,90746,1
2011,Electric,90755,3
2011,Electric,90802,1
2011,Electric,90803,17
2011,Electric,90804,5
2011,Electric,90806,2
2011,Electric,90807,16
2011,Electric,90808,10
2011,Electric,90813,1
2011,Electric,90814,3
2011,Electric,90815,9
2011,Electric,91001,9
2011,Electric,91006,9
2011,Electric,91007,3
2011,Electric,91010,1
2011,Electric,91011,8
2011,Electric,91016,3
2011,Electric,91020,1
2011,Electric,91030,6
2011,Electric,91040,3
2011,Electric,91042,3
2011,Electric,91103,1
2011,Electric,91104,8
2011,Electric,91105,6
2011,Electric,91106,4
2011,Electric,91107,3
2011,Electric,91108,10
2011,Electric,91109,1
2011,Electric,91201,1
2011,Electric,91202,1
2011,Electric,91203,1
2011,Electric,91204,1
2011,Electric,91205,1
2011,Electric,91206,6
2011,Electric,91207,5
2011,Electric,91208,7
2011,Electric,91214,5
2011,Electric,91301,7
2011,Electric,91302,5
2011,Electric,91304,1
2011,Electric,91306,1
2011,Electric,91307,3
2011,Electric,91311,2
2011,Electric,91316,5
2011,Electric,91320,12
2011,Electric,91321,1
2011,Electric,91324,4
2011,Electric,91325,6
2011,Electric,91326,14
2011,Electric,91331,1
2011,Electric,91342,2
2011,Electric,91343,1
2011,Electric,91344,9
2011,Electric,91345,1
2011,Electric,91350,11
2011,Electric,91351,2
2011,Electric,91354,4
2011,Electric,91355,9
2011,Electric,91356,2
2011,Electric,91360,7
2011,Electric,91361,2
2011,Electric,91362,14
2011,Electric,91364,13
2011,Electric,91367,3
2011,Electric,91380,1
2011,Electric,91381,3
2011,Electric,91384,1
2011,Electric,91387,1
2011,Electric,91401,4
2011,Electric,91403,5
2011,Electric,91405,2
2011,Electric,91406,7
2011,Electric,91411,1
2011,Electric,91423,10
2011,Electric,91436,12
2011,Electric,91501,4
2011,Electric,91504,3
2011,Electric,91505,7
2011,Electric,91506,4
2011,Electric,91601,1
2011,Electric,91602,4
2011,Electric,91604,16
2011,Electric,91605,1
2011,Electric,91606,1
